date,precip_mm,source
2017-11-17,5.51,nasa_power
2017-11-18,2.68,nasa_power
2017-11-19,4.0,nasa_power
2017-11-20,4.03,nasa_power
2017-11-21,1.27,nasa_power
2017-11-22,6.43,nasa_power
2017-11-23,5.3,nasa_power
2017-11-24,4.35,nasa_power
2017-11-25,4.51,nasa_power
2017-11-26,2.18,nasa_power
2017-11-27,0.04,nasa_power
2017-11-28,0.02,nasa_power
2017-11-29,0.03,nasa_power
2017-11-30,0.06,nasa_power
2017-12-01,0.04,nasa_power
2017-12-02,0.48,nasa_power
2017-12-03,0.47,nasa_power
2017-12-04,0.41,nasa_power
2017-12-05,0.46,nasa_power
2017-12-06,0.65,nasa_power
2017-12-07,4.08,nasa_power
2017-12-08,6.54,nasa_power
2017-12-09,6.33,nasa_power
2017-12-10,1.4,nasa_power
2017-12-11,0.22,nasa_power
2017-12-12,0.38,nasa_power
2017-12-13,0.44,nasa_power
2017-12-14,0.92,nasa_power
2017-12-15,1.63,nasa_power
2017-12-16,3.23,nasa_power
2017-12-17,0.72,nasa_power
2017-12-18,1.21,nasa_power
2017-12-19,1.86,nasa_power
2017-12-20,2.24,nasa_power
2017-12-21,3.67,nasa_power
2017-12-22,0.01,nasa_power
2017-12-23,0.0,nasa_power
2017-12-24,0.0,nasa_power
2017-12-25,0.0,nasa_power
2017-12-26,0.0,nasa_power
2017-12-27,0.0,nasa_power
2017-12-28,0.0,nasa_power
2017-12-29,0.0,nasa_power
2017-12-30,0.0,nasa_power
2017-12-31,0.0,nasa_power
2018-01-01,0.0,nasa_power
2018-01-02,0.0,nasa_power
2018-01-03,0.0,nasa_power
2018-01-04,0.0,nasa_power
2018-01-05,0.0,nasa_power
2018-01-06,0.28,nasa_power
2018-01-07,1.01,nasa_power
2018-01-08,1.21,nasa_power
2018-01-09,0.42,nasa_power
2018-01-10,0.44,nasa_power
2018-01-11,0.0,nasa_power
2018-01-12,0.0,nasa_power
2018-01-13,0.0,nasa_power
2018-01-14,0.0,nasa_power
2018-01-15,0.0,nasa_power
2018-01-16,0.0,nasa_power
2018-01-17,0.0,nasa_power
2018-01-18,0.0,nasa_power
2018-01-19,0.0,nasa_power
2018-01-20,0.0,nasa_power
2018-01-21,0.0,nasa_power
2018-01-22,0.0,nasa_power
2018-01-23,0.0,nasa_power
2018-01-24,0.0,nasa_power
2018-01-25,0.0,nasa_power
2018-01-26,0.0,nasa_power
2018-01-27,0.0,nasa_power
2018-01-28,0.0,nasa_power
2018-01-29,0.0,nasa_power
2018-01-30,0.0,nasa_power
2018-01-31,0.0,nasa_power
2018-02-01,0.0,nasa_power
2018-02-02,0.0,nasa_power
2018-02-03,0.0,nasa_power
2018-02-04,0.0,nasa_power
2018-02-05,0.11,nasa_power
2018-02-06,0.37,nasa_power
2018-02-07,0.93,nasa_power
2018-02-08,0.53,nasa_power
2018-02-09,0.39,nasa_power
2018-02-10,0.31,nasa_power
2018-02-11,1.38,nasa_power
2018-02-12,0.83,nasa_power
2018-02-13,0.62,nasa_power
2018-02-14,1.1,nasa_power
2018-02-15,0.9,nasa_power
2018-02-16,0.63,nasa_power
2018-02-17,2.23,nasa_power
2018-02-18,4.84,nasa_power
2018-02-19,2.57,nasa_power
2018-02-20,14.74,nasa_power
2018-02-21,0.41,nasa_power
2018-02-22,0.53,nasa_power
2018-02-23,3.69,nasa_power
2018-02-24,2.91,nasa_power
2018-02-25,17.32,nasa_power
2018-02-26,5.51,nasa_power
2018-02-27,4.09,nasa_power
2018-02-28,3.37,nasa_power
2018-03-01,8.32,nasa_power
2018-03-02,3.01,nasa_power
2018-03-03,2.34,nasa_power
2018-03-04,7.89,nasa_power
2018-03-05,9.34,nasa_power
2018-03-06,4.23,nasa_power
2018-03-07,4.94,nasa_power
2018-03-08,8.8,nasa_power
2018-03-09,8.47,nasa_power
2018-03-10,7.59,nasa_power
2018-03-11,6.68,nasa_power
2018-03-12,5.16,nasa_power
2018-03-13,4.15,nasa_power
2018-03-14,2.3,nasa_power
2018-03-15,5.24,nasa_power
2018-03-16,9.76,nasa_power
2018-03-17,5.78,nasa_power
2018-03-18,1.72,nasa_power
2018-03-19,0.71,nasa_power
2018-03-20,2.19,nasa_power
2018-03-21,2.62,nasa_power
2018-03-22,1.47,nasa_power
2018-03-23,6.01,nasa_power
2018-03-24,1.97,nasa_power
2018-03-25,2.2,nasa_power
2018-03-26,13.06,nasa_power
2018-03-27,0.07,nasa_power
2018-03-28,0.29,nasa_power
2018-03-29,0.4,nasa_power
2018-03-30,0.21,nasa_power
2018-03-31,0.12,nasa_power
2018-04-01,1.75,nasa_power
2018-04-02,1.36,nasa_power
2018-04-03,1.39,nasa_power
2018-04-04,2.97,nasa_power
2018-04-05,7.83,nasa_power
2018-04-06,4.26,nasa_power
2018-04-07,3.29,nasa_power
2018-04-08,3.9,nasa_power
2018-04-09,0.93,nasa_power
2018-04-10,2.08,nasa_power
2018-04-11,0.19,nasa_power
2018-04-12,1.04,nasa_power
2018-04-13,1.9,nasa_power
2018-04-14,1.51,nasa_power
2018-04-15,4.03,nasa_power
2018-04-16,7.12,nasa_power
2018-04-17,9.23,nasa_power
2018-04-18,11.07,nasa_power
2018-04-19,8.29,nasa_power
2018-04-20,9.25,nasa_power
2018-04-21,4.29,nasa_power
2018-04-22,7.37,nasa_power
2018-04-23,7.14,nasa_power
2018-04-24,3.63,nasa_power
2018-04-25,6.72,nasa_power
2018-04-26,0.19,nasa_power
2018-04-27,1.77,nasa_power
2018-04-28,2.37,nasa_power
2018-04-29,2.41,nasa_power
2018-04-30,0.54,nasa_power
2018-05-01,2.88,nasa_power
2018-05-02,5.17,nasa_power
2018-05-03,2.74,nasa_power
2018-05-04,2.55,nasa_power
2018-05-05,2.3,nasa_power
2018-05-06,9.53,nasa_power
2018-05-07,1.34,nasa_power
2018-05-08,4.49,nasa_power
2018-05-09,6.89,nasa_power
2018-05-10,17.29,nasa_power
2018-05-11,11.57,nasa_power
2018-05-12,3.84,nasa_power
2018-05-13,1.81,nasa_power
2018-05-14,1.61,nasa_power
2018-05-15,2.45,nasa_power
2018-05-16,7.75,nasa_power
2018-05-17,10.21,nasa_power
2018-05-18,1.98,nasa_power
2018-05-19,1.52,nasa_power
2018-05-20,5.86,nasa_power
2018-05-21,9.52,nasa_power
2018-05-22,49.89,nasa_power
2018-05-23,17.07,nasa_power
2018-05-24,15.81,nasa_power
2018-05-25,25.02,nasa_power
2018-05-26,4.49,nasa_power
2018-05-27,20.12,nasa_power
2018-05-28,0.89,nasa_power
2018-05-29,5.17,nasa_power
2018-05-30,8.07,nasa_power
2018-05-31,3.2,nasa_power
2018-06-01,2.85,nasa_power
2018-06-02,2.22,nasa_power
2018-06-03,3.45,nasa_power
2018-06-04,1.79,nasa_power
2018-06-05,2.82,nasa_power
2018-06-06,2.61,nasa_power
2018-06-07,6.29,nasa_power
2018-06-08,5.34,nasa_power
2018-06-09,7.28,nasa_power
2018-06-10,12.33,nasa_power
2018-06-11,4.86,nasa_power
2018-06-12,1.32,nasa_power
2018-06-13,5.98,nasa_power
2018-06-14,4.47,nasa_power
2018-06-15,4.93,nasa_power
2018-06-16,3.32,nasa_power
2018-06-17,1.73,nasa_power
2018-06-18,2.51,nasa_power
2018-06-19,9.15,nasa_power
2018-06-20,3.72,nasa_power
2018-06-21,14.06,nasa_power
2018-06-22,10.96,nasa_power
2018-06-23,7.11,nasa_power
2018-06-24,2.0,nasa_power
2018-06-25,0.24,nasa_power
2018-06-26,39.24,nasa_power
2018-06-27,13.53,nasa_power
2018-06-28,10.18,nasa_power
2018-06-29,9.8,nasa_power
2018-06-30,23.61,nasa_power
2018-07-01,13.51,nasa_power
2018-07-02,2.01,nasa_power
2018-07-03,6.62,nasa_power
2018-07-04,6.84,nasa_power
2018-07-05,26.82,nasa_power
2018-07-06,23.4,nasa_power
2018-07-07,11.94,nasa_power
2018-07-08,4.85,nasa_power
2018-07-09,2.56,nasa_power
2018-07-10,0.66,nasa_power
2018-07-11,5.74,nasa_power
2018-07-12,6.02,nasa_power
2018-07-13,4.56,nasa_power
2018-07-14,11.96,nasa_power
2018-07-15,5.31,nasa_power
2018-07-16,5.29,nasa_power
2018-07-17,6.85,nasa_power
2018-07-18,1.85,nasa_power
2018-07-19,3.72,nasa_power
2018-07-20,1.1,nasa_power
2018-07-21,2.24,nasa_power
2018-07-22,1.25,nasa_power
2018-07-23,2.56,nasa_power
2018-07-24,4.56,nasa_power
2018-07-25,10.54,nasa_power
2018-07-26,2.86,nasa_power
2018-07-27,0.12,nasa_power
2018-07-28,0.22,nasa_power
2018-07-29,1.23,nasa_power
2018-07-30,0.34,nasa_power
2018-07-31,0.09,nasa_power
2018-08-01,0.24,nasa_power
2018-08-02,1.09,nasa_power
2018-08-03,0.83,nasa_power
2018-08-04,0.16,nasa_power
2018-08-05,0.01,nasa_power
2018-08-06,0.15,nasa_power
2018-08-07,0.18,nasa_power
2018-08-08,0.13,nasa_power
2018-08-09,1.79,nasa_power
2018-08-10,3.02,nasa_power
2018-08-11,0.47,nasa_power
2018-08-12,2.42,nasa_power
2018-08-13,3.0,nasa_power
2018-08-14,2.06,nasa_power
2018-08-15,1.78,nasa_power
2018-08-16,1.14,nasa_power
2018-08-17,4.11,nasa_power
2018-08-18,5.89,nasa_power
2018-08-19,6.29,nasa_power
2018-08-20,2.14,nasa_power
2018-08-21,4.06,nasa_power
2018-08-22,3.77,nasa_power
2018-08-23,4.95,nasa_power
2018-08-24,13.02,nasa_power
2018-08-25,6.42,nasa_power
2018-08-26,3.97,nasa_power
2018-08-27,0.96,nasa_power
2018-08-28,3.14,nasa_power
2018-08-29,2.24,nasa_power
2018-08-30,2.25,nasa_power
2018-08-31,5.54,nasa_power
2018-09-01,3.45,nasa_power
2018-09-02,3.85,nasa_power
2018-09-03,5.84,nasa_power
2018-09-04,7.68,nasa_power
2018-09-05,9.62,nasa_power
2018-09-06,19.07,nasa_power
2018-09-07,6.72,nasa_power
2018-09-08,10.85,nasa_power
2018-09-09,5.87,nasa_power
2018-09-10,13.26,nasa_power
2018-09-11,10.33,nasa_power
2018-09-12,18.73,nasa_power
2018-09-13,4.8,nasa_power
2018-09-14,4.79,nasa_power
2018-09-15,4.14,nasa_power
2018-09-16,6.41,nasa_power
2018-09-17,0.95,nasa_power
2018-09-18,1.17,nasa_power
2018-09-19,4.4,nasa_power
2018-09-20,6.0,nasa_power
2018-09-21,9.57,nasa_power
2018-09-22,11.09,nasa_power
2018-09-23,1.51,nasa_power
2018-09-24,1.93,nasa_power
2018-09-25,3.83,nasa_power
2018-09-26,13.83,nasa_power
2018-09-27,2.91,nasa_power
2018-09-28,23.08,nasa_power
2018-09-29,3.14,nasa_power
2018-09-30,4.67,nasa_power
2018-10-01,3.66,nasa_power
2018-10-02,19.22,nasa_power
2018-10-03,42.91,nasa_power
2018-10-04,8.33,nasa_power
2018-10-05,10.72,nasa_power
2018-10-06,5.16,nasa_power
2018-10-07,3.3,nasa_power
2018-10-08,11.99,nasa_power
2018-10-09,12.83,nasa_power
2018-10-10,10.49,nasa_power
2018-10-11,8.82,nasa_power
2018-10-12,12.35,nasa_power
2018-10-13,4.92,nasa_power
2018-10-14,11.85,nasa_power
2018-10-15,13.28,nasa_power
2018-10-16,9.2,nasa_power
2018-10-17,5.31,nasa_power
2018-10-18,0.9,nasa_power
2018-10-19,0.4,nasa_power
2018-10-20,0.48,nasa_power
2018-10-21,1.26,nasa_power
2018-10-22,4.15,nasa_power
2018-10-23,3.19,nasa_power
2018-10-24,2.82,nasa_power
2018-10-25,0.56,nasa_power
2018-10-26,1.96,nasa_power
2018-10-27,1.25,nasa_power
2018-10-28,1.84,nasa_power
2018-10-29,2.63,nasa_power
2018-10-30,2.21,nasa_power
2018-10-31,2.67,nasa_power
2018-11-01,3.79,nasa_power
2018-11-02,7.59,nasa_power
2018-11-03,2.78,nasa_power
2018-11-04,6.77,nasa_power
2018-11-05,7.08,nasa_power
2018-11-06,7.39,nasa_power
2018-11-07,3.15,nasa_power
2018-11-08,1.8,nasa_power
2018-11-09,1.07,nasa_power
2018-11-10,0.45,nasa_power
2018-11-11,0.65,nasa_power
2018-11-12,2.17,nasa_power
2018-11-13,1.51,nasa_power
2018-11-14,2.1,nasa_power
2018-11-15,2.74,nasa_power
2018-11-16,1.37,nasa_power
2018-11-17,2.68,nasa_power
2018-11-18,1.12,nasa_power
2018-11-19,4.43,nasa_power
2018-11-20,4.98,nasa_power
2018-11-21,1.91,nasa_power
2018-11-22,0.56,nasa_power
2018-11-23,1.24,nasa_power
2018-11-24,1.98,nasa_power
2018-11-25,1.32,nasa_power
2018-11-26,1.52,nasa_power
2018-11-27,0.99,nasa_power
2018-11-28,1.33,nasa_power
2018-11-29,0.77,nasa_power
2018-11-30,0.77,nasa_power
2018-12-01,1.63,nasa_power
2018-12-02,0.0,nasa_power
2018-12-03,0.0,nasa_power
2018-12-04,0.0,nasa_power
2018-12-05,0.0,nasa_power
2018-12-06,0.0,nasa_power
2018-12-07,0.25,nasa_power
2018-12-08,0.06,nasa_power
2018-12-09,0.2,nasa_power
2018-12-10,0.37,nasa_power
2018-12-11,0.34,nasa_power
2018-12-12,1.13,nasa_power
2018-12-13,0.5,nasa_power
2018-12-14,0.21,nasa_power
2018-12-15,0.08,nasa_power
2018-12-16,0.08,nasa_power
2018-12-17,0.08,nasa_power
2018-12-18,0.36,nasa_power
2018-12-19,0.33,nasa_power
2018-12-20,0.08,nasa_power
2018-12-21,0.04,nasa_power
2018-12-22,0.02,nasa_power
2018-12-23,0.01,nasa_power
2018-12-24,0.0,nasa_power
2018-12-25,0.0,nasa_power
2018-12-26,0.0,nasa_power
2018-12-27,0.0,nasa_power
2018-12-28,0.0,nasa_power
2018-12-29,0.01,nasa_power
