date,ndti,ndti_std,red,green,cloud_cover,scene_id,water_pixel_count
2023-10-08,-0.029252,0.013228,0.978,1.03,58.71,S2B_30NXL_20231008_0_L2A,50
2023-10-18,0.046803,0.046066,0.2868,0.2624,26.532,S2B_30NXL_20231018_0_L2A,479
2023-11-12,0.125499,0.050437,0.33,0.2564,25.495,S2A_30NXL_20231112_0_L2A,828
2023-11-22,-0.001784,0.018396,0.15,0.1444,51.55,S2A_30NXL_20231122_0_L2A,8
2023-12-02,0.120729,0.036564,0.3756,0.295,44.173,S2A_30NXL_20231202_0_L2A,428
2023-12-12,0.129688,0.041324,0.3362,0.2579,48.449,S2A_30NXL_20231212_0_L2A,828
2023-12-17,0.105542,0.025426,0.2752,0.222,18.609,S2B_30NXL_20231217_0_L2A,828
2023-12-22,0.11811,0.029981,0.2574,0.2019,11.902,S2A_30NXL_20231222_0_L2A,828
2024-01-01,0.043093,0.041753,0.1546,0.1418,28.38,S2A_30NXL_20240101_0_L2A,25
2024-01-06,0.074578,0.074534,0.2228,0.198,28.68,S2B_30NXL_20240106_0_L2A,97
2024-01-11,0.062369,0.028602,0.1574,0.1398,40.221,S2A_30NXL_20240111_0_L2A,223
2024-01-16,0.074,0.034088,0.2374,0.1988,77.388,S2B_30NXL_20240116_0_L2A,805
2024-01-21,-0.033263,0.020084,0.1374,0.1465,18.529,S2A_30NXL_20240121_0_L2A,12
2024-01-26,0.090405,0.032834,0.2534,0.2108,22.868,S2B_30NXL_20240126_0_L2A,828
2024-01-31,0.134082,0.019508,0.2254,0.1722,5.135,S2A_30NXL_20240131_0_L2A,828
2024-02-10,0.023765,0.016424,0.2138,0.2048,16.078,S2A_30NXL_20240210_0_L2A,532
2024-03-16,0.097326,0.03885,0.2901,0.238,50.599,S2B_30NXL_20240316_0_L2A,828
2024-03-21,0.013194,0.018221,0.1785,0.1694,15.597,S2A_30NXL_20240321_0_L2A,38
2024-03-31,0.090385,0.039031,0.2776,0.2308,13.264,S2A_30NXL_20240331_0_L2A,747
